RATE:1
SIZE,PPS,AVG_MBITS_RX
64,594935.55,400.00 PACKET LOSSES
576,83864.00,400.00
1500,32881.60,400.00
RATE:10
SIZE,PPS,AVG_MBITS_RX
64,5940271.15,3995.00 PACKET LOSSES
576,838251.65,4000.00 PACKET LOSSES
1500,328692.20,4000.00 PACKET LOSSES
RATE:50
SIZE,PPS,AVG_MBITS_RX
64,9855887.05,6610.50 PACKET LOSSES
576,2096336.85,10003.00 PACKET LOSSES
1500,821973.45,10002.00 PACKET LOSSES
RATE:100
SIZE,PPS,AVG_MBITS_RX
64,13936310.00,9368.50 PACKET LOSSES
576,2097160.00,10002.75
1500,822265.60,10002.00
